LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE
RK001,6,1.5333333333333332,1.0166666666666666,0.13333333333333333,0.016666666666666666,0.18333333333333335,1.35,0.3833333333333333,0.6666666666666666,0.43333333333333335,0.3333333333333333,10.421
Y0004,5,2.24,1.4,0.2,0.4,0.24,1.2,1.28,0,0.8,0,8.417
Y0007,9,1.8333333333333333,1.2222222222222223,0.1111111111111111,0.12222222222222222,0.25555555555555554,1.2333333333333334,1.1444444444444444,0.3111111111111111,0.7222222222222222,0.1111111111111111,8.314
Y0010,7,2.057142857142857,1.2857142857142858,0.14285714285714285,0.2857142857142857,0.18571428571428572,1.3,1.1857142857142857,0.2714285714285714,0.7142857142857143,0.14285714285714285,7.895
Y0011,9,1.8,1,0.2222222222222222,0.2222222222222222,0.12222222222222222,1.4555555555555555,0.2111111111111111,0.43333333333333335,0.4444444444444444,0.3333333333333333,7.878
Y0013,5,2.24,1.4,0.2,0.2,0.44,1.2,1.28,0,0.8,0,8.007
Y0017,12,1.8666666666666667,1.3333333333333333,0.083333333,0.16666666666666666,0.19166666666666668,1.425,1.025,0.4916666666666667,0.6666666666666666,0.25,7.999
Y0018,5,1.88,1.4,0.2,0,0.44,1.2,1.28,0.2,0.74,0,8.118
Y0019,10,2.04,1.4,0.1,0.2,0.33,1.31,1.23,0.29,0.7,0.2,8.03
Y0020,9,1.8,1,0,0.1111111111111111,0.2222222222222222,1.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,8.03
Y0024,15,1.8266666666666667,1.1333333333333333,0.13333333333333333,0.13333333333333333,0.086666667,1.4066666666666667,0.6866666666666666,0.5266666666666666,0.6,0.26666666666666666,8.174
Y0025,5,1.44,1,0.2,0,0.2,1.2,0.4,0.6,0.33999999999999997,0.4,8.007
Y0028,13,1.7307692307692308,1.1538461538461537,0.16923076923076924,0.15384615384615385,0.16923076923076924,1.2538461538461538,0.8230769230769232,0.36153846153846153,0.5615384615384615,0.23076923076923078,8.368
Y0032,5,2.28,1.4,0,0.2,0.46,1.42,1.6600000000000001,0.18,1,0,8.368
Y0033,6,1.7333333333333334,1.3333333333333333,0,0.16666666666666666,0.21666666666666667,1.1833333333333333,1.7166666666666668,0.31666666666666665,0.8333333333333334,0.16666666666666666,8.039
Y0034,9,1.7444444444444445,1.2222222222222223,0.13333333333333333,0.1111111111111111,0.25555555555555554,1.3777777777777778,0.9555555555555556,0.4,0.5888888888888889,0.2222222222222222,8.216
Y0035,7,1.6285714285714286,1.5857142857142856,0.1142857142857143,0.014285714285714287,0.32857142857142857,1.0142857142857142,1.8142857142857143,0.4285714285714286,0.6571428571428571,0.14285714285714285,8.216
Y0036,8,1.8375,1.5,0.025,0,0.4125,1.05,1.825,0.45,0.6625,0.25,8.216
Y0037,6,1.0666666666666667,1.3333333333333333,0,0,0.05,0.85,2.05,0.8166666666666667,0.3333333333333333,0.6666666666666666,13.461
Y0038,13,1.376923076923077,1.3076923076923077,0.076923077,0,0.023076923076923078,1.0076923076923077,1.4076923076923078,0.6846153846153846,0.43846153846153846,0.46153846153846156,13.461
Y0040,5,1.22,1.8,0,0.02,0.04,0.8,2.48,0.58,0.52,0.4,13.403
Y0041,11,1.1181818181818182,1.1818181818181819,0.18181818181818182,0.009090909,0.027272727272727275,1.009090909090909,1.1181818181818182,0.7090909090909091,0.23636363636363636,0.5454545454545454,13.633
Y0042,7,1.2,1.3,0.1142857142857143,0.014285714285714287,0.042857143,1.0142857142857142,1.5285714285714287,0.5714285714285714,0.5142857142857142,0.2857142857142857,12.653
Y0043,6,1.5333333333333332,1.3333333333333333,0,0,0.033333333,1.1666666666666667,1.7333333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333,12.96
Y0050,7,1.2,1.3,0.1142857142857143,0.014285714285714287,0.042857143,1.0142857142857142,1.5285714285714287,0.7142857142857143,0.37142857142857144,0.42857142857142855,13.061
Y0051,7,1.1714285714285715,1,0,0,0.014285714285714287,1.0142857142857142,1.1285714285714286,0.8428571428571429,0.2857142857142857,0.7142857142857143,12.114
Y0053,10,1.15,1.21,0.18,0,0.030000000000000002,1.11,1.07,0.61,0.5,0.3,12.756
Y0054,11,1.1090909090909091,1.1818181818181819,0,0,0.018181818181818184,0.9090909090909091,1.6727272727272728,0.8181818181818182,0.45454545454545453,0.5454545454545454,11.792
Y0055,5,1.36,1.02,0.16,0,0.02,1.02,0.86,0.8200000000000001,0.33999999999999997,0.4,12.143
Y0056,6,1.15,1,0,0.016666666666666666,0,1,1,0.8166666666666667,0.26666666666666666,0.6666666666666666,11.888
Y0057,5,1.24,1.42,0.16,0.02,0.04,0.8,1.76,0.42,0.52,0.2,12.13
Y0058,9,1.3333333333333333,1.011111111111111,0.088888889,0.011111111111111112,0.1111111111111111,1.1111111111111112,0.7111111111111111,0.6777777777777778,0.4,0.4444444444444444,12.959
Y0059,18,1.3722222222222222,1.2222222222222223,0.055555556,0,0.066666667,1.2222222222222223,1.1333333333333333,0.7222222222222222,0.42777777777777776,0.5,13.652
Y0060,9,1.1111111111111112,1,0,0,0,1.2222222222222223,0.8888888888888888,0.8888888888888888,0.3333333333333333,0.6666666666666666,12.865
Y0061,6,1.15,1,0.16666666666666666,0.016666666666666666,0,1,0.6666666666666666,0.8166666666666667,0.1,0.6666666666666666,11.572
Y0063,5,1.22,1,0,0.02,0.02,1.02,1.18,0.96,0.32,0.6,11.591
Y0065,6,1.1,1.3333333333333333,0.16666666666666666,0,0.05,0.85,1.7166666666666668,0.65,0.45,0.3333333333333333,11.591
Y0066,8,1.2375,1.5,0,0,0.037500000000000006,1.1375,1.7875,0.6125,0.8375,0.125,13.361
Y0067,8,1.3625,1,0,0.0125,0.125,1.125,1,0.7375,0.45,0.5,13.59
Y0069,5,1.24,1,0,0,0.02,1.42,0.78,0.98,0.4,0.6,13.812
Y0071,7,1.342857142857143,1.3,0.1142857142857143,0.014285714285714287,0.028571428571428574,1.4285714285714286,0.9714285714285715,0.7285714285714285,0.35714285714285715,0.42857142857142855,13.274
