HID,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE
Y0634,15,1.013333333,1.133333333,0.133333333,0,0,0.933333333,1.266666667,0.733333333,0.466666667,0.333333333,12.327
Y0640,18,1.055555556,1.222222222,0,0,0,1.277777778,1.055555556,0.833333333,0.333333333,0.666666667,13.652
Y0641,10,1.11,1.21,0.09,0,0,1.2,1.1,0.8,0.3,0.6,13.652
Y0642,12,1.125,1.166666667,0.25,0.083333333,0.016666667,0.975,0.975,0.583333333,0.333333333,0.391666667,15.169
Y0644,7,1.157142857,1,0,0.014285714,0.014285714,1.014285714,1.128571429,0.971428571,0.228571429,0.771428571,13.789
Y0647,20,1,1.15,0.2,0,0,1,1.15,0.75,0.4,0.4,12.377
Y0650,9,1.133333333,1.222222222,0.111111111,0,0.022222222,0.888888889,1.377777778,0.666666667,0.222222222,0.666666667,13.098
Y0651,6,1.183333333,1.333333333,0.166666667,0.016666667,0.033333333,1,1.4,0.65,0.266666667,0.566666667,13.589
Y0652,9,1.1,1,0.111111111,0.011111111,0,1.222222222,0.666666667,0.877777778,0.177777778,0.711111111,15.84
Y0658,6,1.15,1,0.166666667,0.016666667,0,1.333333333,0.333333333,0.816666667,0.1,0.733333333,13.751
Y0661,6,1.1,1.333333333,0,0,0.05,1.183333333,1.716666667,0.816666667,0.45,0.55,13.365
Y0663,11,1.1,1,0.181818182,0.009090909,0.009090909,0.827272727,0.9,0.709090909,0.236363636,0.581818182,11.62
Y0665,8,1.1625,1.25,0,0.0125,0.0375,1.1375,1.5375,0.725,0.45,0.55,13.725
Y0666,8,1.175,1.2625,0.1,0.0125,0.0375,1.1375,1.3375,0.75,0.325,0.55,13.797
Y0668,6,1.216666667,1.016666667,0.3,0,0.016666667,1.183333333,0.383333333,0.683333333,0.166666667,0.5,13.391
Y0669,6,1.05,1.35,0.133333333,0,0.033333333,0.833333333,1.8,0.533333333,0.666666667,0.166666667,13.759
Y0675,8,1.025,1.25,0.125,0,0.025,0.5,1.8,0.625,0.25,0.625,12.715
Y0677,6,1.216666667,1.333333333,0,0.016666667,0.05,1.183333333,1.716666667,0.8,0.433333333,0.566666667,13.707
Y0678,10,1.11,1.2,0.2,0.01,0.02,0.77,1.37,0.59,0.36,0.44,15.103
Y0681,7,1.128571429,1,0.142857143,0.014285714,0,1.285714286,0.571428571,0.842857143,0.228571429,0.628571429,14.664
Y0682,16,1.06875,1.125,0.375,0.00625,0.0125,0.8125,0.775,0.55625,0.225,0.3375,15.169
Y0686,6,1.216666667,1.333333333,0.166666667,0.016666667,0.05,0.85,1.716666667,0.466666667,0.6,0.233333333,16.568
Y0687,6,1,1,0,0,0,0.5,1.666666667,1,0.166666667,0.833333333,17.878
Y0690,13,1.415384615,1.153846154,0.076923077,0,0.015384615,1.307692308,0.953846154,0.769230769,0.461538462,0.461538462,13.085
Y0691,9,1.244444444,1.222222222,0,0,0.133333333,1.333333333,1.155555556,0.666666667,0.444444444,0.555555556,13.085
Y0694,15,1.166666667,1.14,0.053333333,0,0.08,1.133333333,1.253333333,0.746666667,0.6,0.333333333,13.901
Y0695,10,1.02,1.2,0.2,0,0.02,0.8,1.44,0.6,0.5,0.3,12.392
Y0698,10,1.3,1,0.1,0,0,1.2,0.6,0.8,0.3,0.5,12.984
Y0705,20,1.15,1.1,0.1,0,0,1.1,0.95,0.8,0.4,0.45,12.364
Y0706,7,1.285714286,1,0,0,0.142857143,1.428571429,0.857142857,0.857142857,0.571428571,0.428571429,12.27
Y0710,8,1.175,1.25,0.125,0,0.0375,1.1375,1.2875,0.7375,0.375,0.5,13.013
Y0711,6,1.366666667,1,0,0,0.016666667,1.183333333,0.983333333,0.816666667,0.5,0.5,13.085
Y0714,9,1.244444444,1.222222222,0.222222222,0,0.022222222,0.777777778,1.377777778,0.555555556,0.444444444,0.333333333,12.779
Y0716,9,1.166666667,1.444444444,0,0.011111111,0.055555556,0.888888889,2.077777778,0.766666667,0.511111111,0.488888889,12.935
Y0719,6,1.233333333,1.35,0.133333333,0.016666667,0.05,1.183333333,1.45,0.666666667,0.433333333,0.4,14.059
Y0724,5,1.18,1,0.2,0.02,0,1.2,0.4,0.58,0.32,0.48,13.411
Y0725,8,1.6625,1.0125,0.1,0,0.0125,1.6375,0.2875,0.8875,0.375,0.5,13.036
Y0726,6,1.35,1.016666667,0.133333333,0,0,1.666666667,0.066666667,0.866666667,0.166666667,0.666666667,13.05
Y0728,6,1.483333333,1,0.166666667,0.016666667,0.166666667,1.5,0.333333333,0.65,0.433333333,0.4,10.365
Y0731,7,1.057142857,1.571428571,0.285714286,0,0.028571429,0.714285714,1.771428571,0.428571429,0.428571429,0.285714286,16.465
Y0735,9,1.222222222,1,0.111111111,0,0.111111111,1,0.888888889,0.666666667,0.444444444,0.444444444,11.668
Y0738,10,1.09,1,0.1,0.01,0,1.1,1,0.89,0.36,0.54,15.565
Y0739,5,1.04,1,0,0,0,0.4,2,0.8,0.6,0.4,17.996
Y0740,5,1.18,1,0.2,0.02,0,1,0.8,0.58,0.52,0.28,15.818
Y0744,7,1.028571429,1.285714286,0,0,0.028571429,0.714285714,2.057142857,0.857142857,0.285714286,0.714285714,16.655
Y0747,13,1.076923077,1,0.153846154,0,0,0.976923077,0.869230769,0.769230769,0.307692308,0.538461538,17.892
Y0750,20,1.15,1,0.2,0,0.05,1.05,0.6,0.7,0.3,0.45,12.749
Y0756,5,1.06,1.02,0.16,0,0.02,1.42,0.46,0.82,0.4,0.4,11.552
Y0758,12,1.1,1.166666667,0,0,0.016666667,1.5,1.033333333,0.916666667,0.5,0.5,14.051
Y0760,5,1.22,1,0,0.02,0.02,1.42,0.78,0.96,0.32,0.68,12.002
Y0761,7,1.171428571,1.285714286,0,0,0.028571429,1.142857143,1.485714286,0.714285714,0.428571429,0.571428571,14.102
Y0767,11,1.263636364,1.181818182,0.090909091,0.009090909,0.090909091,0.909090909,1.181818182,0.627272727,0.418181818,0.4,12.371
Y0771,5,1.24,1.02,0.16,0.02,0.02,1.02,0.86,0.8,0.32,0.48,12.392
Y0772,15,1.013333333,1.133333333,0.133333333,0,0.013333333,0.866666667,1.226666667,0.733333333,0.466666667,0.333333333,12.371
Y0775,9,1,1,0.333333333,0,0,0.777777778,0.666666667,0.555555556,0.333333333,0.333333333,12.318
Y0776,10,1.24,1.2,0.3,0,0.02,0.7,1.24,0.5,0.4,0.3,12.318
Y0779,7,1.471428571,1.014285714,0.114285714,0,0.157142857,1.3,0.614285714,0.585714286,0.428571429,0.428571429,10.759
Y0780,6,1.266666667,1.35,0.133333333,0.016666667,0.05,1.016666667,1.783333333,0.666666667,0.6,0.233333333,16.828
Y0782,7,1.185714286,1.014285714,0.114285714,0,0.014285714,1.014285714,0.9,0.728571429,0.285714286,0.571428571,12.606
Y0784,10,1.11,1.2,0.2,0.01,0.02,1,1.04,0.59,0.36,0.34,12.304
Y0797,11,1.127272727,1.181818182,0.181818182,0,0.027272727,0.918181818,1.118181818,0.718181818,0.181818182,0.545454545,11.183
Y0801,5,1.2,1,0.4,0,0,1.2,0,0.6,0.2,0.4,16.763
Y0802,13,1.092307692,1.007692308,0.292307692,0.007692308,0,1.076923077,0.646153846,0.7,0.353846154,0.338461538,16.763
Y0811,6,1,1,0,0,0,1,1,1,0.333333333,0.666666667,13.372
Y0822,14,1.228571429,1.142857143,0.071428571,0,0.007142857,1.15,0.921428571,0.85,0.285714286,0.571428571,13.007
Y0824,7,1.471428571,1.3,0.114285714,0,0.028571429,1.142857143,1.257142857,0.742857143,0.285714286,0.571428571,13.112
Y0825,9,1.355555556,1.222222222,0,0,0.133333333,1.333333333,1.155555556,0.666666667,0.444444444,0.555555556,12.756
Y0826,5,1.2,1.02,0.16,0.02,0,1.2,0.48,0.62,0.32,0.48,12.756
Y0828,8,1.025,1,0.125,0,0,1.375,0.5,0.875,0.2125,0.6625,13.357
Y0831,5,1.28,1.4,0,0,0.06,1.02,2.06,0.78,0.4,0.6,13.573
Y0833,5,1.58,1,0.2,0.02,0.2,0.8,0.8,0.38,0.52,0.28,15.129
Y0834,7,1.028571429,1,0,0,0,1.142857143,0.857142857,1,0.1,0.9,11.711
Y0835,9,1.366666667,1.222222222,0,0.011111111,0.133333333,1.111111111,1.6,0.655555556,0.622222222,0.377777778,13.656
Y0847,5,1.22,1,0,0.02,0.02,1.42,0.78,0.76,0.52,0.48,13.435
Y0853,7,1.142857143,1.014285714,0.257142857,0.014285714,0,1,0.628571429,0.728571429,0.228571429,0.485714286,12.039
Y0878,9,1.477777778,1.233333333,0.088888889,0,0.122222222,1.455555556,0.7,0.788888889,0.555555556,0.333333333,14.138
Y0882,6,1.066666667,1.333333333,0,0,0.05,1,1.383333333,0.666666667,0.5,0.5,13.656
Y0891,6,1.5,1,0.333333333,0,0.166666667,1,0.333333333,0.333333333,0.333333333,0.333333333,8.747
Y0898,6,2.033333333,1,0.166666667,0.333333333,0.183333333,1.516666667,0.316666667,0.316666667,0.666666667,0.166666667,7.815
Y0906,6,1.733333333,1.333333333,0.166666667,0.166666667,0.216666667,1,1.05,0.166666667,0.666666667,0.166666667,7.84
Y0908,9,1.266666667,1.222222222,0.222222222,0,0.133333333,1.111111111,0.933333333,0.444444444,0.411111111,0.366666667,6.967
Y0910,7,1.885714286,1.285714286,0.142857143,0.285714286,0.171428571,1.142857143,1.2,0.142857143,0.714285714,0.142857143,7.158
Y0913,5,2.08,1.4,0,0.2,0.26,1.6,0.86,0.4,0.8,0.2,6.35
Y0917,7,1.714285714,1.285714286,0.285714286,0.142857143,0.285714286,0.857142857,0.857142857,0.142857143,0.571428571,0.142857143,7.815
Y0918,5,1.88,1.4,0.2,0.2,0.26,1.02,1.66,0.18,0.8,0,7.815
Y0927,5,2.24,1.4,0,0.4,0.24,1.6,1.28,0.2,0.8,0.2,7.353
Y0930,5,1.48,1.4,0.2,0.2,0.04,0.8,1.68,0.2,0.74,0.06,6.334
Y0932,5,1.8,1,0.4,0.2,0.2,1.2,0,0.2,0.4,0.2,7.338
Y0935,7,1.471428571,1.285714286,0.142857143,0.014285714,0.185714286,1.142857143,0.9,0.414285714,0.514285714,0.342857143,7.414
Y0941,7,1.885714286,1.285714286,0,0.142857143,0.314285714,1.285714286,1.485714286,0.285714286,0.857142857,0.142857143,7.389
Y0943,6,1.666666667,1.333333333,0.333333333,0.166666667,0.166666667,1,0.833333333,0.166666667,0.5,0.166666667,7.414
Y0944,6,1.766666667,1.666666667,0.333333333,0.166666667,0.25,0.666666667,1.783333333,0,0.666666667,0,7.414
Y0946,9,1.911111111,1.222222222,0.222222222,0.222222222,0.133333333,1.333333333,0.711111111,0.333333333,0.555555556,0.222222222,7.809
Y0947,8,1.75,1.25,0.25,0.25,0.125,1.125,0.875,0.25,0.625,0.125,7.81
Y0948,7,1.914285714,1.285714286,0.142857143,0.285714286,0.185714286,1.014285714,1.471428571,0.128571429,0.857142857,0,7.814
Y0950,10,1.52,1,0.2,0.1,0.1,1.1,0.6,0.5,0.5,0.3,7.809
Y0960,7,1.628571429,1.285714286,0.285714286,0.142857143,0.185714286,0.857142857,0.9,0.142857143,0.571428571,0.142857143,7.812
Y0980,15,1.533333333,1.266666667,0.133333333,0.066666667,0.2,1.133333333,1.133333333,0.533333333,0.6,0.266666667,8.891
Y0981,8,1.5,1,0.25,0.125,0.125,0.875,0.75,0.375,0.5,0.25,8.685
Y0986,5,1.22,1,0,0.02,0.02,1.62,0.38,0.96,0.32,0.48,11.404
Y0998,8,1.525,1.25,0.125,0.125,0.15,1.375,1.05,0.5,0.5,0.375,8.056
Y1000,5,1.88,1.4,0.2,0.2,0.26,1.02,1.66,0.18,0.8,0,8.055
Z0116,5,1,1,0,0,0,1,1.2,1,0.4,0.4,18.71
Z0117,5,1.04,1,0,0,0.02,1.02,1.18,0.98,0.2,0.8,18.71
Z0120,11,1.036363636,1.181818182,0.181818182,0,0.027272727,1.009090909,1.118181818,0.718181818,0.181818182,0.636363636,18.108
Z0121,6,1.2,1,0.166666667,0,0.016666667,0.85,0.983333333,0.816666667,0.166666667,0.666666667,18.213
Z0122,9,1.077777778,1,0.333333333,0.011111111,0.011111111,1.011111111,0.433333333,0.644444444,0.155555556,0.511111111,18.69
Z0124,6,1.066666667,1.333333333,0,0,0.05,1.183333333,1.716666667,0.816666667,0.333333333,0.666666667,18.75
Z0129,5,1,1,0,0,0,0.8,1.2,1,0.2,0.6,21.95
Z0211,5,1.26,1.4,0,0.02,0.06,1.02,2.06,0.76,0.52,0.48,18.108
