HID,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE
Y0058,10,1.3,1.01,0.08,0.01,0.1,1.2,0.64,0.71,0.36,0.44,12.959
Y0059,20,1.335,1.2,0.05,0,0.06,1.3,1.02,0.75,0.435,0.515,13.652
Y0060,9,1.111111111,1,0,0,0,1.222222222,0.888888889,0.888888889,0.333333333,0.666666667,12.865
Y0061,6,1.15,1,0.166666667,0.016666667,0,1,0.666666667,0.816666667,0.1,0.733333333,11.572
Y0063,5,1.22,1,0,0.02,0.02,1.02,1.18,0.96,0.32,0.68,11.591
Y0065,6,1.1,1.333333333,0.166666667,0,0.05,0.85,1.716666667,0.65,0.45,0.383333333,11.591
Y0066,8,1.2375,1.5,0,0,0.0375,1.1375,1.7875,0.6125,0.8375,0.1625,13.361
Y0067,8,1.3625,1,0,0.0125,0.125,1.125,1,0.7375,0.45,0.55,13.59
Y0069,6,1.2,1,0,0,0.016666667,1.516666667,0.65,0.983333333,0.5,0.5,13.812
Y0071,7,1.342857143,1.3,0.114285714,0.014285714,0.028571429,1.428571429,0.971428571,0.728571429,0.357142857,0.5,13.274
Y0076,31,1.151612903,1.129032258,0.096774194,0,0.032258065,1.096774194,1,0.774193548,0.409677419,0.461290323,11.41
Y0083,9,1.111111111,1,0.222222222,0,0,0.666666667,0.888888889,0.666666667,0.111111111,0.666666667,11.601
Y0086,5,1.22,1,0,0.02,0.02,1.42,0.78,0.96,0.32,0.68,13.578
Y0087,5,1.28,1.42,0.16,0.02,0.06,1.02,1.74,0.6,0.52,0.28,13.874
Y0090,6,1.833333333,1,0.333333333,0.166666667,0.166666667,1.166666667,0,0.333333333,0.333333333,0.166666667,8.007
Y0095,6,1.583333333,1.666666667,0.166666667,0.016666667,0.25,1,1.783333333,0.316666667,0.6,0.233333333,9.337
Y0097,7,2.142857143,1,0.142857143,0.285714286,0.142857143,1.714285714,0,0.428571429,0.571428571,0.285714286,7.929
Y0099,7,1.885714286,1,0.142857143,0.142857143,0.3,1.3,0.557142857,0.414285714,0.571428571,0.285714286,7.929
Y0113,6,1.7,1.333333333,0.166666667,0.166666667,0.2,1.166666667,1.4,0.333333333,0.666666667,0.166666667,8.368
Y0130,7,2.057142857,1.285714286,0,0.285714286,0.185714286,1.585714286,1.185714286,0.414285714,0.857142857,0.142857143,7.96
Y0140,7,1.628571429,1.285714286,0.142857143,0,0.185714286,1.3,1.185714286,0.557142857,0.714285714,0.142857143,9.466
Y0144,6,1.583333333,1.666666667,0.166666667,0.016666667,0.25,1,1.783333333,0.316666667,0.6,0.233333333,8.765
Y0155,5,1.88,1.4,0.2,0.2,0.26,1.02,1.66,0.18,0.8,0,8.444
Y0158,15,1.76,1.266666667,0.133333333,0.133333333,0.22,1.34,0.82,0.46,0.533333333,0.266666667,8.739
Y0159,8,1.55,1.25,0.25,0,0.1625,1.1375,1.0375,0.4875,0.625,0.125,9.396
Y0160,8,1.525,1,0.125,0,0.125,1.375,0.5,0.75,0.5,0.375,9.408
Y0161,7,1.314285714,1.285714286,0.285714286,0,0.171428571,1,1.2,0.428571429,0.428571429,0.285714286,9.404
Y0162,6,1.7,1,0.166666667,0,0.183333333,1.516666667,0.316666667,0.65,0.666666667,0.166666667,9.449
