LOCALITY,ORDER,SUBORDER.SUPERFAMILY,FAMILY,SUBFAMILY.TRIBE,GROUP.NAME,GENUSSPECIES,GENUS,SPECIES,CODE,TAXON.CODE,IDNUMBER,ELEMENT,DESCRIPT,MINIMUM.AGE,MAXIMUM.AGE,AVERAGE.AGE,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,LAT,LONG,FORMATION,REFERENCE SECTION,PALEOMAG SECTION
CH003,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,Teleoceratina,Teleoceratina,Brachypotherium perimense,Brachypotherium,perimense,0,451812112  ?080  045,Y 23261,Phalanx,INC 3RD PROXU,13.546,13.753,13.65,1,1,0,0,0,1,2,1,1,0,NA,NA,Chinji,IR-2,IR-2
CH003,Artiodactyla,Suoidea,Suidae,Listriodontinae,Listriodontinae,Listriodon pentapotamiae,Listriodon,pentapotamiae,0,45170520    031  022,Y 23264,Upper Canine,LINC C       UW,13.546,13.753,13.65,1,1,0,0,0,0,2,1,0,1,NA,NA,Chinji,IR-2,IR-2
CH003,Artiodactyla,Hippopotamoidea,Anthracotheriidae,Bothriodontinae,Bothriodontinae,Merycopotamus nanus,Merycopotamus,nanus,0,45170830    052  035,Y 32738,Lunar,LCOMP        U,13.546,13.753,13.65,1,1,0,0,0,0,2,0,1,0,NA,NA,Chinji,IR-2,IR-2
CH003,Artiodactyla,Giraffoidae,indet.,indet.,Giraffoidae,indet. indet.,indet.,indet.,0,451717      001  001,Y 23255,Horn Core / Ossicone,FRAG        B,13.546,13.753,13.65,1,1,0,0,0,2,0,1,0,1,NA,NA,Chinji,IR-2,IR-2
CH003,Artiodactyla,Bovoidea,Bovidae,indet.,Bovidae,indet. indet.,indet.,indet.,0,451720      001  001,Y 23258,Mandible,RINC DP4-M1  BE,13.546,13.753,13.65,1.9,1,0,0.1,0,2,0,0.9,0.6,0,NA,NA,Chinji,IR-2,IR-2
CH003,Artiodactyla,Traguloidea,Tragulidae,indet.,Tragulidae,Dorcatherium indet.,Dorcatherium,indet.,0,45171600    054  269,Y 23176,Mandible,LINC M3      BI,13.546,13.753,13.65,1,1,0,0,0,2,0,1,0,1,NA,NA,Chinji,IR-2,IR-2
CH003,Proboscidea,Elephantoidea,indet.,indet.,Elephantoidea,indet. indet.,indet.,indet.,0,45152       001  001,Y 23960,Indet. Molar,FRAGMI      BW,13.546,13.753,13.65,1.2,3,0,0,0.2,0,6.4,0,1,0,NA,NA,Chinji,IR-2,IR-2
D0013,Artiodactyla,Traguloidea,Tragulidae,indet.,Tragulidae,Dorcatherium indet.,Dorcatherium,indet.,0,45171600    054  168,Y 37704,Humerus,LDIST        B,6.459,6.575,6.517,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,indet. indet.,indet.,indet.,0,45180221    001  001,Y 15077,Phalanx,COMPLAT MED U,6.459,6.575,6.517,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Sus indet.,Sus,indet.,0,45170550   ?065  085,D    17,Mandible,LINC DP4-M1  BU,6.459,6.575,6.517,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Artiodactyla,Bovoidea,Bovidae,Bovinae,Boselaphini,Miotragocerus punjabicus,Miotragocerus,punjabicus,0,45172012    117  003,Y 18144,Lower Molar,LINC M3      UU,6.459,6.575,6.517,2,1,0,0,0,2,0,1,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Artiodactyla,Bovoidea,Bovidae,Bovinae,Tragelaphini,indet. indet.,indet.,indet.,0,45172011    001  001,Y 50738,Maxilla,RINC P4-M3   BE,6.459,6.575,6.517,2,1,0,0,0,2,0,1,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Proboscidea,Gomphotherioidea,Gomphotheriidae,Amebelodontinae ,Amebelodontidae,Protanancus chinjiensis,Protanancus,chinjiensis,0,4515222     223  014,Y 50758,Lower Molar,RINC M3      BW,6.459,6.575,6.517,1,3,0,0,0,0,4,0,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Artiodactyla,Hippopotamoidea,Anthracotheriidae,Bothriodontinae,Bothriodontinae,Merycopotamus dissimilus,Merycopotamus,dissimilis,0,45170830    052  069,Y 18157,Lower Molar,LFRAGM3      BW,6.459,6.575,6.517,1,1,0,0,0,0,2,0,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,indet.,Rhinocerotidae,indet. indet.,indet.,indet.,0,451812      001  001,Y 16785,Upper Molar,INC MI      BV,6.459,6.575,6.517,1.2,1,0,0,0.1,1.1,1.9,0.9,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Artiodactyla,Bovoidea,Bovidae,Hippotraginae,Hippotragini,indet. indet.,indet.,indet.,0,45172032    001  001,Y 50741,Lower Molar,RINC MI      BW,6.459,6.575,6.517,3,1,0,1,0,2,0,0,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
KL001,Primates,Euprimates,Hominidae,Sugrivapithecini,"Hominoidea, i.s.",Sivapithecus sivalensis,Sivapithecus,sivalensis,0,45051010    002  002,Y 51763,Lower Canine,LINC C       BW,9.243,9.286,9.265,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL001,Proboscidea,Elephantoidea,Stegodontidae,Stegodontinae,Stegodontidae,Stegolophodon stegodontoides,Stegolophodon,stegodontoides,0,45152235    068cf154,Y 14991,Upper Molar,LINC M3      BW,9.243,9.286,9.265,1,3,0,0,0,0,5,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL001,Artiodactyla,Giraffoidae,Giraffidae,Sivatheriinae,Sivatheriinae,Bramatherium megacephalum,Bramatherium,megacephalum,0,45171735    050  034,Y 14998,Metatarsal,RDISTMED     B,9.243,9.286,9.265,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL001,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Hippopotamodon sivalense,Hippopotamodon,sivalense,0,45170550    038  007,Y 52040,Maxilla,LINC P4      BW,9.243,9.286,9.265,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL001,Artiodactyla,Bovoidea,Bovidae,indet.,Bovidae,indet. indet.,indet.,indet.,0,451720      001  001,Y 15605,Phalanx,COMPLAT PROXU,9.243,9.286,9.265,1.9,1,0,0.1,0,2,0,0.9,0.6,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL001,Artiodactyla,Traguloidea,Tragulidae,indet.,Tragulidae,Dorcatherium indet.,Dorcatherium,indet.,0,45171600    054  308,Y 52041,Tibia,LDIST        B,9.243,9.286,9.265,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL001,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,indet.,Rhinocerotidae,indet. indet.,indet.,indet.,0,451812      001  001,Y 15609,Lower Molar,FRAGMI      BW,9.243,9.286,9.265,1.2,1,0,0,0.1,1.1,1.9,0.9,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL001,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Propotomochoerus hysudricus,Propotomochoerus,hysudricus,0,45170550    056  028,Y 13802,Upper Molar,LINC M3      BW,9.243,9.286,9.265,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL001,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,Sivalhippus nagriensis,Sivalhippus,nagriensis,0,45180221    062  166,Y 13703,Upper Molar,RINC M2      BW,9.243,9.286,9.265,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL003,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,indet.,Rhinocerotidae,indet. indet.,indet.,indet.,0,451812      001  001,Y 15005,Phalanx,INC 3RD DISTW,9.324,9.416,9.37,1.2,1,0,0,0.1,1.1,1.9,0.9,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL003,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Hippopotamodon sivalense,Hippopotamodon,sivalense,0,45170550    038  007,Y 15010,Metacarpal,RPROX4TH     B,9.324,9.416,9.37,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL003,Artiodactyla,Bovoidea,Bovidae,Bovinae,Boselaphini,Miotragocerus pilgrimi,Miotragocerus,pilgrimi,0,45172012    117  041,Y 15006,Phalanx,INC MED PROXB,9.324,9.416,9.37,1,1,0,0,0,2,0,1,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL003,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,Sivalhippus nagriensis,Sivalhippus,nagriensis,0,45180221    062  166,Y 15008,Lower Premolar,LINC P4      BW,9.324,9.416,9.37,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL003,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Propotomochoerus hysudricus,Propotomochoerus,hysudricus,0,45170550    056  028,Y 15007,Mandible,INC         B,9.324,9.416,9.37,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL003,Artiodactyla,Giraffoidae,Giraffidae,Sivatheriinae,Sivatheriinae,Libytherium indet.,Libytherium,indet.,0,45171735    107  182,Y 16759,Mandible,LINC P2-M2   BE,9.324,9.416,9.37,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL004,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Propotomochoerus hysudricus,Propotomochoerus,hysudricus,0,45170550    056  028,Y 16732,Mandible,LINC P4-M1   BW,9.725,9.804,9.765,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL004,Artiodactyla,Giraffoidae,Giraffidae,Sivatheriinae,Sivatheriinae,Libytherium indet.,Libytherium,indet.,0,45171735    107  182,Y 14980,Horn Core / Ossicone,INC         B,9.725,9.804,9.765,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL004,Artiodactyla,Traguloidea,Tragulidae,indet.,Tragulidae,Dorcabune nagrii,Dorcabune,nagrii,0,45171600    053  036,Y 14984,Mandible,RINC M1-M3   BU,9.725,9.804,9.765,1,1,0,0,0,0,2,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL004,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,Sivalhippus nagriensis,Sivalhippus,nagriensis,0,45180221    062  166,Y 14979,Upper Molar,RINC M1      BW,9.725,9.804,9.765,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL004,Artiodactyla,Bovoidea,Bovidae,indet.,Bovidae,indet. indet.,indet.,indet.,0,451720      001  001,Y 14983,Humerus,RDIST        B,9.725,9.804,9.765,1.9,1,0,0.1,0,2,0,0.9,0.6,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL006,Artiodactyla,Bovoidea,Bovidae,Bovinae,Boselaphini,indet. indet.,indet.,indet.,0,45172012    074  017,Y 15596,Tibia,RDIST        B,9.627,9.677,9.652,1.2,1,0,0,0,2,0,1,0.7,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL006,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Propotomochoerus hysudricus,Propotomochoerus,hysudricus,0,45170550    056  028,Y 15150,Tibia,RDIST        B,9.627,9.677,9.652,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL006,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,Sivalhippus nagriensis,Sivalhippus,nagriensis,0,45180221    062  166,Y 15145,Upper Molar,LINC M3      UU,9.627,9.677,9.652,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL006,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,Rhinocerotini,Rhinocerotini,indet. indet.,indet.,indet.,0,45181211    001  001,Y 15147,Upper Incisor,LINC I1      BW,9.627,9.677,9.652,1.2,1,0,0,0,1,2,1,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL008,Proboscidea,indet.,indet.,indet.,Proboscidea,indet. indet.,indet.,indet.,0,4515        001  001,Y 15285,Indet. Incisor,FRAGII      B,7.701,7.823,7.762,1,1,0,0,0,0,2,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL008,Artiodactyla,Suoidea,Suidae,indet.,Suidae,indet. indet.,indet.,indet.,0,451705      001  001,Y 15290,Phalanx,COMPMED PROXU,7.701,7.823,7.762,1.1,1.1,0.8,0,0,0,0.4,0.2,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL008,Artiodactyla,Bovoidea,Bovidae,Bovinae,Boselaphini,indet. indet.,indet.,indet.,0,45172012    074  017,Y 15282,Radius,LDIST        B,7.701,7.823,7.762,1.2,1,0,0,0,2,0,1,0.7,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL008,Artiodactyla,Bovoidea,Bovidae,Bovinae,?Bovini,Pachyportax dhokpathanensis,Pachyportax,dhokpathanensis,0,45172013    206  235,Y 15276,Horn Core / Ossicone,LINC         B,7.701,7.823,7.762,3,1,0,1,0,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL008,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,Rhinocerotina,Rhinocerotina,Ceratotherium neumayri,Ceratotherium,neumayri,0,451812111 cf326  244,Y 17993,Upper Molar,LINC M3      BW,7.701,7.823,7.762,2,1,0,0,0,1,2,1,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL008,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,indet. indet.,indet.,indet.,0,45180221    001  001,Y 15278,Lower Molar,RINC MI      BW,7.701,7.823,7.762,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL009,Artiodactyla,Traguloidea,Tragulidae,indet.,Tragulidae,Dorcatherium majus,Dorcatherium,majus,0,45171600    054  037,Y 15581,Metatarsal,PROX3/4     W,7.634,7.75,7.692,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL009,Artiodactyla,Bovoidea,Bovidae,indet.,Bovidae,indet. indet.,indet.,indet.,0,451720      001  001,Y 15586,Metatarsal,LINC 3/4     B,7.634,7.75,7.692,1.9,1,0,0.1,0,2,0,0.9,0.6,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL009,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,indet. indet.,indet.,indet.,0,45180221    001  001,Y 15583,Lower Molar,RINC MI      UW,7.634,7.75,7.692,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL009,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,indet.,Rhinocerotidae,indet. indet.,indet.,indet.,0,451812      001  001,Y 15580,Indet. Molar,FRAGMI      BW,7.634,7.75,7.692,1.2,1,0,0,0.1,1.1,1.9,0.9,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL009,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Propotomochoerus hysudricus,Propotomochoerus,hysudricus,0,45170550    056  028,Y 46451,Mandible,LFRAGMI      BW,7.634,7.75,7.692,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,Teleoceratina,Teleoceratina,Brachypotherium perimense,Brachypotherium,perimense,0,451812112   080  045,Y 49521,Upper Molar,LINC M3      BW,7.82,8.102,7.961,1,1,0,0,0,1,2,1,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Artiodactyla,Traguloidea,Tragulidae,indet.,Tragulidae,Siamotragulus nagrii,Siamotragulus,nagrii,0,45171600    352  036,Y 16402,Mandible,LINC M1-M3   BW,7.82,8.102,7.961,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Artiodactyla,Bovoidea,Bovidae,Bovinae,Boselaphini,Tragoportax salmontanus,Tragoportax,salmontanus,0,45172012    216  144,Y 16394,Horn Core / Ossicone,RINC         B,7.82,8.102,7.961,2,1,0,0,0,2,0,1,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Hippopotamodon sivalense,Hippopotamodon,sivalense,0,45170550    038  007,Y 16351,Upper Molar,FRAGM3      BW,7.82,8.102,7.961,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Artiodactyla,Bovoidea,Bovidae,Bovinae,?Bovini,Pachyportax dhokpathanensis,Pachyportax,dhokpathanensis,0,45172013    206  235,Y 51798,Mandible,LINC M3      BW,7.82,8.102,7.961,3,1,0,1,0,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,Sivalhippus theobaldi,Sivalhippus,theobaldi,0,45180221    062  039,Y 51805,Lower Molar,LINC M1      BW,7.82,8.102,7.961,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Proboscidea,Gomphotherioidea,Gomphotheriidae,gomphothere group,gomphothere group,indet. indet.,indet.,indet.,0,4515223     001  001,Y 51559,Indet. Molar,FRAGMI      B,7.82,8.102,7.961,1.4,3,0,0,0.3,0,4.3,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,Sivalhippus perimensis,Sivalhippus,perimensis,0,45180221    062  263,Y 16504,Upper Molar,LINC M1      BW,7.82,8.102,7.961,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Artiodactyla,Giraffoidae,Giraffidae,Sivatheriinae,Sivatheriinae,Libytherium indet.,Libytherium,indet.,0,45171735    107  182,Y 16400,Lower Molar,RFRAGM3      BU,7.82,8.102,7.961,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Propotomochoerus hysudricus,Propotomochoerus,hysudricus,0,45170550    056  028,Y 16482,Mandible,RINC MI      BW,7.82,8.102,7.961,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Artiodactyla,Giraffoidae,Giraffidae,Sivatheriinae,Sivatheriinae,Bramatherium megacephalum,Bramatherium,megacephalum,0,45171735    050  034,Y 16401,Upper Molar,LINC M3      BW,7.82,8.102,7.961,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,Rhinocerotina,Rhinocerotina,Rhinoceros sivalensis,Rhinoceros,sivalensis,0,451812111   266cf002,Y 51560,Upper Premolar,RINC P3      BW,7.82,8.102,7.961,1,1,0,0,0,1,2,1,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Proboscidea,Elephantoidea,indet.,indet.,Elephantoidea,indet. indet.,indet.,indet.,0,45152       001  001,Y 51558,Indet. Molar,FRAGMI      B,7.82,8.102,7.961,1.2,3,0,0,0.2,0,6.4,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL011,Artiodactyla,Bovoidea,Bovidae,Antilopinae,Reduncini,Kobus porrecticornis,Kobus,porrecticornis,0,45172043    324  143,Y 49520,Mandible,LINC M1-M2   BE,7.82,8.102,7.961,3,1,0,1,0,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL012,Artiodactyla,Giraffoidae,Giraffidae,Sivatheriinae,Sivatheriinae,Bramatherium megacephalum,Bramatherium,megacephalum,0,45171735    050  034,Y 18350,Phalanx,COMPMED PROXU,8.465,8.623,8.544,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL012,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,Cremohipparion antelopinum,Cremohipparion,antelopinum,0,45180221    063  175,Y 15542,Upper Molar,LCOMPM3      UU,8.465,8.623,8.544,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL012,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,Sivalhippus perimensis,Sivalhippus,perimensis,0,45180221    062cf263,Y 17935,Upper Premolar,LINC P4      BW,8.465,8.623,8.544,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL012,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Propotomochoerus hysudricus,Propotomochoerus,hysudricus,0,45170550    056  028,Y 18344,Upper Incisor,RINC I1      BU,8.465,8.623,8.544,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL012,Artiodactyla,Traguloidea,Tragulidae,indet.,Tragulidae,Dorcabune nagrii,Dorcabune,nagrii,0,45171600    053  036,Y 17934,Mandible,LINC MI      BW,8.465,8.623,8.544,1,1,0,0,0,0,2,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL012,Proboscidea,Elephantoidea,indet.,indet.,Elephantoidea,indet. indet.,indet.,indet.,0,45152       001  001,Y 19737,Indet. Molar,INC MI      BW,8.465,8.623,8.544,1.2,3,0,0,0.2,0,6.4,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL012,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,indet.,Rhinocerotidae,indet. indet.,indet.,indet.,0,451812      001  001,Y 15535,Humerus,RDIST        B,8.465,8.623,8.544,1.2,1,0,0,0.1,1.1,1.9,0.9,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL012,Artiodactyla,Bovoidea,Bovidae,Bovinae,Boselaphini,Elachistoceras khauristanensis,Elachistoceras,khauristanensis,0,45172012    033  026,Y 18346,Mandible,RINC M2-M3   BW,8.465,8.623,8.544,2,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL012,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Hippopotamodon sivalense,Hippopotamodon,sivalense,0,45170550    038  007,Y 17937,Lower Molar,LINC M1      BW,8.465,8.623,8.544,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL012,Artiodactyla,Bovoidea,Bovidae,Antilopinae,Reduncini,Kobus indet.,Kobus,indet.,0,45172043    324  182,Y 17938,Mandible,LINC P4-M1   BW,8.465,8.623,8.544,3,1,0,1,0,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL016,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,indet. indet.,indet.,indet.,0,45180221    001  001,Y 15681,Upper Molar,LINC MI      BU,8.734,8.876,8.805,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL016,Artiodactyla,Bovoidea,Bovidae,indet.,Bovidae,indet. indet.,indet.,indet.,0,451720      001  001,Y 15687,Phalanx,COMPMED PROXU,8.734,8.876,8.805,1.9,1,0,0.1,0,2,0,0.9,0.6,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL016,Proboscidea,Elephantoidea,indet.,indet.,Elephantoidea,indet. indet.,indet.,indet.,0,45152       001  001,Y 15620,Metacarpal,RINC 2ND     U,8.734,8.876,8.805,1.2,3,0,0,0.2,0,6.4,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL016,Artiodactyla,Giraffoidae,indet.,indet.,Giraffoidae,indet. indet.,indet.,indet.,0,451717      001  001,Y 15686,Lower Premolar,INC PI      BU,8.734,8.876,8.805,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL016,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,indet.,Rhinocerotidae,indet. indet.,indet.,indet.,0,451812      001  001,Y 15683,Upper Molar,INC MI      BW,8.734,8.876,8.805,1.2,1,0,0,0.1,1.1,1.9,0.9,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL020,Artiodactyla,Giraffoidae,indet.,indet.,Giraffoidae,indet. indet.,indet.,indet.,0,451717      001  001,Y 16377,Metapodial,PROXMED     B,9.769,9.905,9.837,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL020,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,Sivalhippus nagriensis,Sivalhippus,nagriensis,0,45180221    062  166,Y 16378,Lower Premolar,RINC P4      BW,9.769,9.905,9.837,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL020,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,Hipparion indet.,Hipparion,indet.,0,45180221    029  033,Y 16381,Upper Premolar,LINC P4      BW,9.769,9.905,9.837,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL020,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,indet.,Rhinocerotidae,indet. indet.,indet.,indet.,0,451812      001  001,Y 16390,Indet. Molar,FRAGMI      BW,9.769,9.905,9.837,1.2,1,0,0,0.1,1.1,1.9,0.9,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL020,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Hippopotamodon sivalense,Hippopotamodon,sivalense,0,45170550    038  007,Y 16376,Indet. Molar,INC MI      BV,9.769,9.905,9.837,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL020,Artiodactyla,Bovoidea,Bovidae,Bovinae,?Bovini,Pachyportax falconeri,Pachyportax,falconeri,0,45172013    206  049,Y 16388,Lunar,LCOMP        U,9.769,9.905,9.837,3,1,0,0,0,2,0,1,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
